(alfonso1) c:\Fracture.v1i_Reduced_YoloFromScratch>python SSD_PRUEBA2.py
C:\Users\Alfonso Blanco\.conda\envs\alfonso1\lib\site-packages\numpy\_distributor_init.py:30: UserWarning: loaded more than 1 DLL from .libs:
C:\Users\Alfonso Blanco\.conda\envs\alfonso1\lib\site-packages\numpy\.libs\libopenblas.FB5AE2TYXYH2IJRDKGDGQ3XBKLKTF43H.gfortran-win_amd64.dll
C:\Users\Alfonso Blanco\.conda\envs\alfonso1\lib\site-packages\numpy\.libs\libopenblas64__v0.3.21-gcc_10_3_0.dll
  warnings.warn("loaded more than 1 DLL from .libs:"
Reading labels from  trainFractureOJumbo1\labels\
Reading labels from  trainFractureOJumbo1\labels\
Epoch 179, Loss: 0.003950824814760503
Epoch 180, Loss: 0.003989031217438546
Epoch 181, Loss: 0.004072505310555366
Epoch 182, Loss: 0.0038234634903838507
Epoch 183, Loss: 0.003937037469743675
Epoch 184, Loss: 0.003715757024159806
Epoch 185, Loss: 0.004009707708138268
Epoch 186, Loss: 0.003892424698868716
Epoch 187, Loss: 0.003958382050670381
Epoch 188, Loss: 0.0040768910076695725
Epoch 189, Loss: 0.003922048613595827
Epoch 190, Loss: 0.003776409653820903
Epoch 191, Loss: 0.003846451607092309
Epoch 192, Loss: 0.003891356009360705
Epoch 193, Loss: 0.0039026691441461946
Epoch 194, Loss: 0.003996232821845223
Epoch 195, Loss: 0.0039214425455980206
Epoch 196, Loss: 0.003947996016044321
Epoch 197, Loss: 0.0037515451250648177
Epoch 198, Loss: 0.0039140347232475775
Epoch 199, Loss: 0.003928981331252569
Epoch 200, Loss: 0.003935763996245491
Epoch 201, Loss: 0.003980243097160112
Epoch 202, Loss: 0.003947833744884544
Epoch 203, Loss: 0.0037977359968715827
Epoch 204, Loss: 0.003938506829325814
Epoch 205, Loss: 0.003881774686994283
Epoch 206, Loss: 0.00384609291418078
Epoch 207, Loss: 0.0037176944850314713
Epoch 208, Loss: 0.0037569682274290637
Epoch 209, Loss: 0.0038953445886412788
Epoch 210, Loss: 0.0040050874498823805
Epoch 211, Loss: 0.0037889736279769727
Epoch 212, Loss: 0.0036808164165720242
Epoch 213, Loss: 0.0038290927973198326
Epoch 214, Loss: 0.003851390428010475
Epoch 215, Loss: 0.0038262510961676773
Epoch 216, Loss: 0.003925542145766117
Epoch 217, Loss: 0.0038506409147049526
Epoch 218, Loss: 0.0037429175965764836
Epoch 219, Loss: 0.0037984631993379946
Epoch 220, Loss: 0.003626702225144097
Epoch 221, Loss: 0.0037154442995685983
Epoch 222, Loss: 0.003887996563650164
Epoch 223, Loss: 0.0037505320726415594
Epoch 224, Loss: 0.0038705384248641094
Epoch 225, Loss: 0.0038689244239641404
Epoch 226, Loss: 0.003918078360682656
Epoch 227, Loss: 0.0037511336330853
Epoch 228, Loss: 0.003708143575381286
Epoch 229, Loss: 0.0037562824326340814
Epoch 230, Loss: 0.0036512791050119777
Epoch 231, Loss: 0.0037572250679462544
Epoch 232, Loss: 0.003953618988570933
Epoch 233, Loss: 0.004018935203438977
Epoch 234, Loss: 0.003785744369206195
Epoch 235, Loss: 0.003792030500827005
Epoch 236, Loss: 0.003793850256369223
Epoch 237, Loss: 0.0036514217531107163
Epoch 238, Loss: 0.0036416590493801677
Epoch 239, Loss: 0.00398191756480751
Epoch 240, Loss: 0.003701509553876177
Epoch 241, Loss: 0.0038627945453029227
Epoch 242, Loss: 0.0035993182163282828
Epoch 243, Loss: 0.0037096766031322046
Epoch 244, Loss: 0.0038172068401567034
Epoch 245, Loss: 0.003780964091797737
Epoch 246, Loss: 0.003699855104158003
Epoch 247, Loss: 0.0036958821615002847
Epoch 248, Loss: 0.0037747740830496156
Epoch 249, Loss: 0.0036427348174117003
Epoch 250, Loss: 0.003809622869625486
Epoch 251, Loss: 0.0037282038687703177
Epoch 252, Loss: 0.0037613061565049998
Epoch 253, Loss: 0.0035498334123199252
Epoch 254, Loss: 0.0037660475889522886
Epoch 255, Loss: 0.0036786310201686982
Epoch 256, Loss: 0.003588432052827163
Epoch 257, Loss: 0.0036421924360675387
Epoch 258, Loss: 0.003881784755346441
Epoch 259, Loss: 0.0037744946335757
Epoch 260, Loss: 0.003684410235429233
Epoch 261, Loss: 0.0035644390610852154
Epoch 262, Loss: 0.0037080833131472603
Epoch 263, Loss: 0.0036334374178565937
Epoch 264, Loss: 0.003746807702653412
Epoch 265, Loss: 0.0035589988629736407
Epoch 266, Loss: 0.0036001479759736844
Epoch 267, Loss: 0.0037950251968829215
Epoch 268, Loss: 0.0036389935475371377
Epoch 269, Loss: 0.0037377193834431267
Epoch 270, Loss: 0.0037792901558851874
Epoch 271, Loss: 0.003672369595340176
Epoch 272, Loss: 0.0036069761900344513
Epoch 273, Loss: 0.003570372674526093
Epoch 274, Loss: 0.0035392710029751666
Epoch 275, Loss: 0.0035841367817074817
Epoch 276, Loss: 0.003585043375858584
Epoch 277, Loss: 0.00356972379911993
Epoch 278, Loss: 0.003655844056550917
Epoch 279, Loss: 0.0036153559953704274
Epoch 280, Loss: 0.003857353065836218
Epoch 281, Loss: 0.003476540233178467
Epoch 282, Loss: 0.0034848447233073515
Epoch 283, Loss: 0.003469028341036441
Epoch 284, Loss: 0.0034868828865787568
Epoch 285, Loss: 0.0034825245085222697
Epoch 286, Loss: 0.0036480899560391096
Epoch 287, Loss: 0.003798187365031776
Epoch 288, Loss: 0.003515303638335821
Epoch 289, Loss: 0.0035119330128214345
Epoch 290, Loss: 0.003629883022104214
Epoch 291, Loss: 0.003417458025757475
Epoch 292, Loss: 0.003554536512662732
